Nom,Categorie,Nutriscore,Novascore,Ecoscore,Taux de sel (100g),Taux de matieres grasses (100g),Taux de matieres grasses saturees (100g),Taux de proteine (100g),Taux de sucre (100g),Energie (Kcal) (100g)
Coffret découverte Miel de Corse,en:breakfasts,unknown,en:2-processed-culinary-ingredients,81,N/A,N/A,N/A,N/A,N/A,N/A
Miel Du Gâtinais,fr:miels-du-gatinais,unknown,en:2-processed-culinary-ingredients,81,N/A,N/A,N/A,N/A,N/A,N/A
Miel de fleurs,en:breakfasts,unknown,en:2-processed-culinary-ingredients,72,N/A,N/A,N/A,N/A,N/A,N/A
Miel Acacia de la plaine du Danube,en:breakfasts,unknown,en:2-processed-culinary-ingredients,76,N/A,N/A,N/A,N/A,N/A,N/A
Miel blanc du kirghizstan,en:breakfasts,d,en:2-processed-culinary-ingredients,72,0,0.2,0.1,0,70,333
Miel de nigelles,fr:miels-de-nigelle,unknown,en:2-processed-culinary-ingredients,72,N/A,N/A,0,N/A,0,N/A
Miel de fleurs,en:breakfasts,unknown,en:2-processed-culinary-ingredients,72,N/A,N/A,N/A,N/A,N/A,N/A
Miel de fleurs d'oignon,en:breakfasts,unknown,en:2-processed-culinary-ingredients,72,N/A,N/A,N/A,N/A,N/A,N/A
Miel de fleurs,en:breakfasts,unknown,en:2-processed-culinary-ingredients,72,N/A,N/A,N/A,N/A,N/A,N/A
Miel de fleurs,en:breakfasts,unknown,en:2-processed-culinary-ingredients,72,N/A,N/A,N/A,N/A,N/A,N/A
Miel Bio de fleurs,en:breakfasts,d,en:2-processed-culinary-ingredients,92,0.004,0.5,0,0.5,82,335
Berliner Honig Linde,en:breakfasts,unknown,en:2-processed-culinary-ingredients,72,N/A,N/A,N/A,N/A,N/A,N/A
HONIG freiner blüten,en:breakfasts,d,en:2-processed-culinary-ingredients,72,0.02,0.5,0.1,0.4,75,382
Pain burger Gerblé sans gluten,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,68,0.97,4.9,1.9,3.8,6.8,247
Le Grand Nature Gerblé sans gluten,en:plant-based-foods-and-beverages,a,en:4-ultra-processed-food-and-drink-products,N/A,0.54,3.8,0.5,4.5,2.7,236
American Sandwich Nature,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,76,1.1,4.1,0.4,7.6,7.7,271
pain complet seigle,en:plant-based-foods-and-beverages,a,en:3-processed-foods,102,1.1,1.3,0.2,4.6,4,198
Grissini,en:plant-based-foods-and-beverages,d,unknown,74,2,11,4,12,1.4,427
