Nom,Categorie,Nutriscore,Novascore,Ecoscore,Taux de sel (100g),Taux de matieres grasses (100g),Taux de matieres grasses saturees (100g),Taux de proteine (100g),Taux de sucre (100g),Energie (Kcal) (100g)
Ferrero rocher nocciola white,en:snacks,e,en:4-ultra-processed-food-and-drink-products,10,0.34,43.4,22,9.2,44.7,610
Gâteau de Noël Stollen à la pâte d'amande,en:snacks,e,en:4-ultra-processed-food-and-drink-products,N/A,0.35,17,8,4.2,39,402
Chips de sarrasin bretonnes,en:snacks,c,en:3-processed-foods,N/A,1.2,27,2.2,11,0.7,505
Lunettes fraise,fr:lunettes-a-la-fraise,d,en:4-ultra-processed-food-and-drink-products,83,0.1,15,4.6,6,33,436
Noir quinoa soufflé,fr:chocolats-noirs-au-quinoa,e,en:3-processed-foods,53,0,37,23,5.4,37,558
Bonbon Arc-en-ciel Sans Sucre,en:snacks,b,en:4-ultra-processed-food-and-drink-products,47,0,0,0,0,0.5,234
Britannia 50 Piece Little Hearts,en:snacks,c,unknown,50,0.2625,7,3,2,8,165
P'tit fourré chocolat,en:snacks,e,en:4-ultra-processed-food-and-drink-products,30,0.5,24,11,6.5,37,499
Power Fresh menthe forte,en:snacks,not-applicable,en:4-ultra-processed-food-and-drink-products,N/A,0.03,0.4,0.2,0.2,0.1,160
4 Bretzels crus,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,N/A,1.3,5.5,0.7,6.6,1.8,251
La Vicoise de Picardie,en:plant-based-foods-and-beverages,c,en:3-processed-foods,82,1.3,34,2.8,5.9,0.6,525
Terrine Charles Antona. Sanglier à l'eau de vie,en:meats-and-their-products,e,unknown,N/A,2.1,37,15,10,0.7,377
Lasagne bolognaise à la viande de porc,en:meats-and-their-products,c,en:4-ultra-processed-food-and-drink-products,32,0.9,5.8,2.7,5.2,4.2,144
Ravioli bolognaise,en:meats-and-their-products,a,en:3-processed-foods,67,0.67,5.5,2,5.5,3.4,122
Pate croute richelieu canard,fr:charcuteries-cuites,e,en:4-ultra-processed-food-and-drink-products,-2,2,23,8.8,11,1.2,317
Cordon bleu de poulet,en:meats-and-their-products,c,en:3-processed-foods,42,0.96,14,3.3,13,0.7,254
Blanc de Dinde Doré au four,fr:charcuteries-cuites,a,en:4-ultra-processed-food-and-drink-products,18,0.0017,1.5,0.5,22,0.8,106
Rosette Pierre Bertrand,en:meats-and-their-products,e,unknown,25,4.7,30.2,11.6,24.7,1,376
Saucisse barbecue,en:meats-and-their-products,e,en:4-ultra-processed-food-and-drink-products,N/A,2.21,20.7,8.47,13.1,0.8,246
Filet de bacon fumé au bois de hêtre,en:meats-and-their-products,d,en:4-ultra-processed-food-and-drink-products,12,2.7,2,1,22,0.5,106
Rosette en tranche,fr:rosette-tranchee,e,unknown,29,4.3,28,12,23,2.2,353
Filet de Bacon fumé,en:meats-and-their-products,d,en:4-ultra-processed-food-and-drink-products,N/A,3.1,2.6,1.2,23,0.5,117
Langue de bœuf sauce Madère au sel de Guérande,en:meats-and-their-products,unknown,unknown,-9,N/A,N/A,N/A,N/A,N/A,N/A
Langue de boeuf sauce piquante cuisinée au sel de Guérande,en:meats-and-their-products,c,en:4-ultra-processed-food-and-drink-products,-9,1.1,9,4.2,11,0.8,136
Magret de canard du Sud Ouest séché,en:meats-and-their-products,e,unknown,7,3.2,33,8.6,23,1,400
Pollo asado,en:meats-and-their-products,b,en:4-ultra-processed-food-and-drink-products,22,0.8,10,2.1,22,0.5,183
Mousse de volaille,en:meats-and-their-products,e,unknown,N/A,2.6,21.6,6.1,10.6,1.4,248
Tiroler Speck,fr:specks,e,unknown,-7,4,19,7.6,29,0.5,289
Sucuk,en:meats-and-their-products,e,en:4-ultra-processed-food-and-drink-products,15,2.8,33,16,18,0.5,372
Escalopes de poulet marines,en:meats-and-their-products,b,en:3-processed-foods,28,1.3,4.7,0.5,28,0.5,153
Blanquette de veau et pommes de terre,en:canned-foods,a,en:4-ultra-processed-food-and-drink-products,6,0.51,1.2,0.6,5.1,1,54
Hot Dog saucisses fumées,en:meats-and-their-products,d,en:4-ultra-processed-food-and-drink-products,29,1.75,19,7.6,13,1,227
Dumplings porc et chou chinois,en:meats-and-their-products,c,en:4-ultra-processed-food-and-drink-products,N/A,1.1,5.8,1.1,7.2,1.7,172
Terrine porc pruneau,en:meats-and-their-products,e,en:3-processed-foods,N/A,2.5,27,9.2,4.6,4.6,334
Saucisse catalane,en:meats-and-their-products,d,en:4-ultra-processed-food-and-drink-products,31,1.6,18,6.5,16,0,225
Brasserie du Pays Flamand,en:beverages,not-applicable,en:3-processed-foods,50,N/A,N/A,N/A,N/A,N/A,N/A
N/A,en:beverages,c,en:4-ultra-processed-food-and-drink-products,37,0,0,0,0.6,1.5,23
Instant Choco,N/A,unknown,en:4-ultra-processed-food-and-drink-products,N/A,0.05,6,4,6.3,67,383
Agrumes,en:beverages-and-beverages-preparations,c,en:4-ultra-processed-food-and-drink-products,N/A,0.01,0,0,0,0,19
Captain Morgan,en:beverages,not-applicable,en:4-ultra-processed-food-and-drink-products,52,N/A,N/A,N/A,N/A,N/A,N/A
Sommeil,en:beverages,unknown,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NESCAFÉ Cappuccino Choco Blanc, Café soluble, Boîte de 270g",en:beverages-and-beverages-preparations,not-applicable,en:4-ultra-processed-food-and-drink-products,-18,N/A,N/A,N/A,N/A,N/A,N/A
Amande intense,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,93,0.09,4,0.4,1.2,4,61
Amande intense,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,79,0.035,0.36,0.08,0.24,0.2,11.6
Soja chocolat,en:plant-based-foods-and-beverages,a,en:4-ultra-processed-food-and-drink-products,103,0.12,3,0.8,4,8,80
Oasis Pomme Cassis Framboise,en:beverages-and-beverages-preparations,e,en:4-ultra-processed-food-and-drink-products,70,0.01,0,0,0,8,34
Épeautre noisette bjorg,en:plant-based-foods-and-beverages,b,en:3-processed-foods,N/A,0.09,3,0.3,1,5.4,76
Water juice,fr:saguaro-water-juice-fraise,c,en:4-ultra-processed-food-and-drink-products,N/A,0,0,0,0,2.9,13
Diet Coke 2L,en:beverages,b,en:4-ultra-processed-food-and-drink-products,N/A,0.0282,0,N/A,0,N/A,0
Sirop de Verveine,fr:sirops-de-verveine,unknown,en:3-processed-foods,93,0,0,0,0,61,344
"Caprisonne, Multivitamin",en:beverages-and-beverages-preparations,e,en:4-ultra-processed-food-and-drink-products,N/A,0.01,0.5,0.1,0.5,7.3,31
Capri Sun multi vitamin,en:plant-based-foods-and-beverages,e,en:4-ultra-processed-food-and-drink-products,45,0,0,0,0,8,34
Chipolatas au piment d'espelette Mmmm!,en:meats-and-their-products,d,unknown,31,1.7,15,6,18,0.5,213
Jambon sec,en:meats-and-their-products,d,unknown,-13,5.69999975,12,4.5,27,0.5,224
Jambon de paris superieur,en:meats-and-their-products,c,unknown,12,2,3,1.5,20,1,111
Terrine de foie de volaille,fr:terrines-de-foie-de-volaille,e,unknown,N/A,1.5,35,15.3,11.1,4.6,213
Terrine de chevreuil aux marrons,fr:terrines-de-chevreuil,d,unknown,N/A,1.7,24.9,9.7,18.4,0.5,223.6
Rillettes de porc au cidre breton,fr:rillettes-de-viande-rouge,d,unknown,19,0.8,41.6,16.2,11.5,0.9,425
Rillettes de porc,fr:rillettes-de-viande-rouge,d,unknown,19,0.8,41.6,16.2,11.5,0.9,425
Rillettes de poulet rôti en cocotte,en:meats-and-their-products,d,en:3-processed-foods,39,1,29,9.2,16,0.5,N/A
Terrine de canard aux magrets fumés,en:meats-and-their-products,e,en:3-processed-foods,12,2.2,34,14,13,0.4,360
Terrine de lapin aux deux moutardes,en:meats-and-their-products,d,unknown,26,1.99,15.4,5.8,15.9,0.2,260
Betterave Bio,fr:betteraves-sous-vide,a,unknown,N/A,0.14000000059605,0,0,2.2999999523163,6.6999998092651,43
"4 pomme, 4 pomme fraise, 4 pomme banane, 4 pomme poire",en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,79,0,0.3,0,0.3,11,51
Cédrats,fr:confitures-de-cedrats,d,unknown,60,0,0,0,0.6,47,195
Choucroute d'Alsace,fr:choucroute-crue,b,en:3-processed-foods,90,1.52,0.52,0.04,1.4,1.92,27.2
Pâte de fruits,en:plant-based-foods-and-beverages,c,unknown,68,0.19,0,0,0,74,334
Tomates sechees,en:plant-based-foods-and-beverages,d,en:3-processed-foods,0,3.8,25.5,3.6,2.7,11.5,295
Pickeld Gherkin,en:plant-based-foods-and-beverages,unknown,en:3-processed-foods,90,0.787,0.1,N/A,1.1,9.6,47
Apfelmark - Campo Verde,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,114,0,0.1,0,0.3,10.1,51
Raisin Sec Sultanines,en:plant-based-foods-and-beverages,c,en:1-unprocessed-or-minimally-processed-foods,62,0.0275,0.5,0.1,3.1,59,299
Figues séchées,en:plant-based-foods-and-beverages,b,en:3-processed-foods,29,0,1.6,0.4,3.6,53,265
Velouté Légumes variés du potager,en:plant-based-foods-and-beverages,b,en:3-processed-foods,109,0.5,0.5,0.2,0.7,1.6,30
La poêlée pour poisson,en:plant-based-foods-and-beverages,a,en:3-processed-foods,68,0.06,0.5,0.1,1.4,3.1,28
Cornichons à l'aigre doux,en:plant-based-foods-and-beverages,a,unknown,N/A,0.82,0.08,0.04,0.44,1.26,9.98
La poêlée aux 5 légumes,fr:100-legumes,a,en:3-processed-foods,69,0.1,0.5,0.1,1.3,2.2,27
Pomme de terre micron onde,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haricots verts extra fins,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,81,0.1,0.1,0.1,1.8,0.4,28
Poelee Méridionale,en:plant-based-foods-and-beverages,a,en:3-processed-foods,69,0.06,0.1,0.1,1.6,2.2,35
Ananas en tranches au sirop léger,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,89,0.01,0.5,0,0.5,13,56
La Poêlée Celtique,fr:100-legumes,a,en:3-processed-foods,75,0.03,1.25,0.1,1.9,1.8,52
Ail Semoule,en:plant-based-foods-and-beverages,unknown,unknown,77,N/A,N/A,N/A,N/A,N/A,N/A
Compote pomme datte,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,76,0.01,0.5,0.1,0.5,9,76
Tarte en or feuilletée,en:plant-based-foods-and-beverages,d,en:4-ultra-processed-food-and-drink-products,47,1.1,16,5.8,6.9,1.5,347
Baguette à l'ail,en:plant-based-foods-and-beverages,d,en:4-ultra-processed-food-and-drink-products,N/A,1.4,23,15,7,2.5,N/A
NESTLE LION céréales 675g​,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,25,0.49,7.7,1.3,8.2,25,410
NESTLE CRUNCH Céréales 980g PRIX CHOC,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,47,0.04,7.6,2,7.4,24.9,403
NESTLE CRUNCH Céréales 750g,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,34,0.02,7.4,3.3,7.4,24.9,401
NESTLE NESQUIK BIO Céréales 375g,en:plant-based-foods-and-beverages,a,en:4-ultra-processed-food-and-drink-products,52,0.45,2.1,0.7,9.1,22.3,374
Cheerios Bio,en:plant-based-foods-and-beverages,a,en:4-ultra-processed-food-and-drink-products,58,0.65,6.6,0.9,9.1,18,388
"NESTLE LION Céréales 1,05 kg",en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,15,0.49,7.7,3.2,8.2,25,409
NESTLE LION Céréales 480g,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,26,0.49,7.7,3.2,8.2,25,409
NESTLE CHOCAPIC BIO Céréales,en:plant-based-foods-and-beverages,a,en:4-ultra-processed-food-and-drink-products,50,0.22,5.5,1.6,8.8,22.5,391
LION caramel chocolat BIO,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,58,0.41,7.7,1.2,8.1,25,411
Pâtes spaghetti n°5 1kg,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,73,0.01,2,0.5,13,3.5,359
Bulgur Wheat,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,80,0.1,0.8,0.2,3.6,0.3,101
Granola Bio,en:plant-based-foods-and-beverages,b,en:3-processed-foods,87,0.04,15,2.2,9,15,450
Galettes riz complet Bio,en:plant-based-foods-and-beverages,a,en:3-processed-foods,68,0.25,3.2,0.7,8.7,0.6,379
Galettes riz sésame,en:plant-based-foods-and-beverages,a,en:3-processed-foods,78,0.25,5.6,1,9.2,0.6,391
Galettes de Riz Chocolat au Lait,en:plant-based-foods-and-beverages,d,en:3-processed-foods,78,0.09,23,14,7.8,27,493
Croc' Fourrés Cacao Noisettes,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,45,0.44,14,1.5,8.4,22,440
Croc pétales les p'tits curieux,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,50,0.85,0.8,0.3,6.5,18,369
Demae Ramen - Chicken,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,63,1.0825,4,2,2,0.4,91
Soupe de poissons sauvages,en:meals,b,unknown,1,1,1.2000000476837,0.34999999403954,5.7,1,47
Soupe de poisson Corse,en:meals,b,unknown,1,1.06,2,0.4,7.7,0.8,47
Couscous à la Méditerranéenne,en:meals,a,unknown,86,0.64,5.2,0.7,5.2,1.7,146
Soupe à la chinoise,en:meals,d,en:4-ultra-processed-food-and-drink-products,N/A,7.1,1.3,0.2,9.1,10,343
Parmentier de poisson,en:seafood,b,en:4-ultra-processed-food-and-drink-products,7,0.66,7.4,3.9,6.8,2.3,128
Chicken shortcrust pastry pie,en:meals,unknown,en:3-processed-foods,13,N/A,15.9,7.1,9.8,0.8,282
Quinoa Tomates Olives,en:plant-based-foods-and-beverages,a,en:3-processed-foods,N/A,1,4.8,0.7,5.4,3.5,151
Lentilles Carottes,en:plant-based-foods-and-beverages,a,en:3-processed-foods,100,0.49,1.6,0.2,7.3,1.1,106
Quinoa tomates olives - Bio,en:plant-based-foods-and-beverages,a,en:3-processed-foods,N/A,0.84,3.3,0.5,5.1,1,151
Terrine légumes du soleil,en:plant-based-foods-and-beverages,b,en:3-processed-foods,103,1,16,1.7,4.2,2.1,222
"Coleslaw, choux blanc et carottes",en:snacks,a,en:4-ultra-processed-food-and-drink-products,77,1,7.7,0.6,0.9,6.7,109
Sushis,en:meals,d,unknown,N/A,1.9,5.3,1.4,5.8,6.2,185
Palet de légumes Courgettes Aubergines,en:plant-based-foods-and-beverages,a,en:3-processed-foods,N/A,0.76,5.1,0.6,3.8,3.6,122
Kinder Pinguí 8er-Pack,en:snacks,e,unknown,N/A,0.25,29.7,20,7,33.1,450
Gaufres caramel bio,en:snacks,e,en:4-ultra-processed-food-and-drink-products,76,0.94,15,5,3.7,45,429
Croc'Avoine complet,en:plant-based-foods-and-beverages,c,en:3-processed-foods,74,0.65,19,1.6,8.4,18,457
Bio nutrition + croc'avoine chocolat,en:snacks,c,en:4-ultra-processed-food-and-drink-products,61,0.57,19,2.8,8.5,18,454
Galletas de Chocolate Príncipe,en:snacks,d,en:4-ultra-processed-food-and-drink-products,N/A,0.49,17,5.6,6.3,32,467
Petit fourré noisette,en:snacks,d,en:4-ultra-processed-food-and-drink-products,58,0.4,19,4,5.5,29,460
Cookies quinoa cacao choco Bjorg,en:snacks,d,en:3-processed-foods,73,0.41,22,13,8.3,30,473
Biscuits aux pépites de chocolat,fr:biscuits-edulcores,a,en:4-ultra-processed-food-and-drink-products,41,0.15,13.8,3.7,16.7,1.9,380
Bisc. tarallucci KG1 Barilla #,en:snacks,d,unknown,50,0.675,17,1.9,7,23.5,467
Milka galette choco,en:snacks,e,en:4-ultra-processed-food-and-drink-products,32,0.6,24,12,5.7,35,504
Z'animaux,en:snacks,unknown,en:4-ultra-processed-food-and-drink-products,63,N/A,N/A,N/A,N/A,N/A,N/A
FROLLINI con GRANELLI di ZUCCHERO,en:snacks,d,unknown,50,0.65,17,8.3,7.9,24,473
Tableau d'honneur chocolat au lait - noisette,en:snacks,e,en:4-ultra-processed-food-and-drink-products,44,0.59,23,14,6.7,35,499
Biscuits tableau d'honneur chocolat noir,en:snacks,e,en:4-ultra-processed-food-and-drink-products,49,0.56,23,15,7,31,498
Biscuit Bio Fourre Chocolat Noir X2 50G,en:snacks,d,en:4-ultra-processed-food-and-drink-products,57,0.5,20,7,7.1,27,478
Éclair choco fondant,en:snacks,d,unknown,55,0.46,11,5,4.9,18,243
Confiture fraise,en:plant-based-foods-and-beverages,unknown,unknown,60,N/A,0,0,0,62,254
Confiture extra de 3 agrumes,en:plant-based-foods-and-beverages,d,unknown,60,0,0,0,0,61,252
Confiture Clémentine,en:plant-based-foods-and-beverages,c,unknown,60,0.02,0,0,0.6,40,178
Confiture Fraise,en:plant-based-foods-and-beverages,c,unknown,60,0.07,0,0,0.5,40,177
Confiture orange,en:plant-based-foods-and-beverages,c,unknown,72,0.01,0,0,0.7,40,171
Gelée de corse myrte,en:plant-based-foods-and-beverages,d,unknown,60,0.04,0.8,0,0.5,62,252
Confiture de myrtille,en:plant-based-foods-and-beverages,d,unknown,80,0.02,0,0,0,53,241
Confiture extra de Corse - mûre sauvage,en:plant-based-foods-and-beverages,d,unknown,60,0.03,0.8,0.2,0.5,61,253
Confiture de fraises,en:plant-based-foods-and-beverages,d,unknown,60,0.4,0,0,0,58,254
Confiture bio de Corse - Cerise noire,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,45,0.02,0,0,0.8,54,233
Confiture du terroir Corse Fraises,en:plant-based-foods-and-beverages,unknown,unknown,60,N/A,0,0,0,58,254
Miel de fleurs,en:breakfasts,d,en:2-processed-culinary-ingredients,80,N/A,N/A,N/A,N/A,N/A,N/A
Fraise,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,73,0.03,0,0,0,39,163
Dried mango,en:plant-based-foods-and-beverages,c,en:1-unprocessed-or-minimally-processed-foods,N/A,0.1975,1,0.5,2.6,52,354
Compote pomme mirabelle cannelle,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,96,0.01,0.6,0.1,0,11.8,60
Noix de coco rapée,en:plant-based-foods-and-beverages,d,unknown,45,0.09,69.2,59,7.4,6.9,708
Cocktail de Fruits,en:plant-based-foods-and-beverages,a,en:4-ultra-processed-food-and-drink-products,N/A,0,0,0,0,12,64
Dattes variété Deglet Nour,en:plant-based-foods-and-beverages,b,unknown,49,0.01,0.5,0.1,2.1,66,293
Compote de pommes bio,en:plant-based-foods-and-beverages,a,unknown,96,0.01,0,0,0,12,55
Haselnusskerne geröstet,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,20,0.03,70.5,6.8,14.3,3.5,722
Abricots secs,en:plant-based-foods-and-beverages,unknown,unknown,44,N/A,1,0,3.4,53,241
Pâtes de figues,fr:pates-de-figues,c,en:1-unprocessed-or-minimally-processed-foods,73,0.09,1,0.1,4,52,271
Compotes à boire pomme-fraise pomme-abricot,en:plant-based-foods-and-beverages,unknown,unknown,76,N/A,0.5,0.1,0.5,10,57
Dattes,en:plant-based-foods-and-beverages,c,en:1-unprocessed-or-minimally-processed-foods,49,0,0.2,0,1.8,55,287
Super Fruits compote gourde,en:plant-based-foods-and-beverages,a,en:4-ultra-processed-food-and-drink-products,76,0,0.27,0,0.43,11,53
American Burger Style Sauce,en:condiments,d,en:4-ultra-processed-food-and-drink-products,60,2.1,36,3.1,1,9.3,375
Pâte de Curry Thaï Jaune Biologique Doux,en:condiments,d,en:3-processed-foods,N/A,5.3,5.4,4.3,2.4,5.5,134
Mayonnaise,en:condiments,d,en:4-ultra-processed-food-and-drink-products,37,1,80,6.5,1.2,0.1,726
Aioli,en:condiments,e,unknown,29,1.33,73.3,10,1.33,0,667
Amora Mayonnaise Street Mayo Flacon Souple 398g,en:condiments,d,en:4-ultra-processed-food-and-drink-products,40,1.5,77,6,1.2,1.3,700
AMORA Mayonnaise 5 Ingrédients Tube 175g,en:condiments,d,en:1-unprocessed-or-minimally-processed-foods,44,1.1,76,6.4,1.2,0.5,692
Barilla sauce tomates basilic bio 200g,fr:sauce-pate,a,en:3-processed-foods,105,0.78,3.4,0.7,1.5,5.4,66
Salsa Arrabbiata,en:condiments,d,en:4-ultra-processed-food-and-drink-products,90,2.18,21,2.2,1.6,2.9,216
Fond de volaille,en:condiments,unknown,en:4-ultra-processed-food-and-drink-products,N/A,17.1,1.8,0.6,13,21,317
Sauce barbecue goût fumé,en:condiments,d,en:4-ultra-processed-food-and-drink-products,74,2.18,0.7,0.1,1.1,24,126
Sauce Tomate cuisinée aux petits légumes,fr:sauces-pour-feculents,c,en:4-ultra-processed-food-and-drink-products,69,2.9,7.3,0.5,2.8,9.3,137
Creme anglaise,en:dairies,c,en:4-ultra-processed-food-and-drink-products,74,0.17,3,1.8,3,12,91
Sauce crudités caesar,fr:sauces-crudites,d,en:4-ultra-processed-food-and-drink-products,42,1.75,49.099998474121,4,2,4.5999999046326,482
Sauce n°2 armoricaine,en:condiments,c,unknown,N/A,1.5,6,2.6,2.4,2.4,81
Huile D'avocat,en:plant-based-foods-and-beverages,c,unknown,36,0,100,20,0,0,900
Mayonaise,en:condiments,unknown,en:4-ultra-processed-food-and-drink-products,37,5,74.7,N/A,2.67,N/A,667
Sauce Crudités,fr:sauces-crudites,d,en:4-ultra-processed-food-and-drink-products,37,2.35,30.3,2.4,0.5,4.7,308
Sauce soja,en:condiments,c,en:3-processed-foods,97,16.9,0,0,10,0.6,77
Sauce Soja,en:condiments,unknown,en:4-ultra-processed-food-and-drink-products,88,N/A,N/A,N/A,N/A,N/A,N/A
Pesto frais ail des ours,en:condiments,e,unknown,58,1.1,55.9,11.3,9.2,0.3,547.6
Crème de champignon,en:condiments,d,en:3-processed-foods,62,1,11.7,6.8,7.1,3,N/A
Houmous,en:plant-based-foods-and-beverages,a,en:3-processed-foods,104,0.7,11,1.6,14,3,234
Sauce hoi sin,en:condiments,e,en:4-ultra-processed-food-and-drink-products,N/A,6.1666666666668,6.6666666666667,6.6666666666667,6.6666666666667,41.333333333333,206.66666666667
Nut Mix,en:plant-based-foods-and-beverages,b,en:1-unprocessed-or-minimally-processed-foods,N/A,0,55,4.7,20.2,4.3,627
Sorbet au cassis avec baies de cassis,en:desserts,c,en:4-ultra-processed-food-and-drink-products,82,0.2,0.2,0,0,25,118
Magnum Glace Bâtonnet Mini Classic x6 330ml,en:desserts,d,en:4-ultra-processed-food-and-drink-products,82,0.1,16,11,2.7,22,261
Cornetto Glace à l'Italienne Vanille & Cacao 4x140ml,en:desserts,c,en:4-ultra-processed-food-and-drink-products,95,0.12,6.7,5.7,1.8,15,155
"Magnum Glace Bâtonnet Mini Classique, Amande & Chocolat Blanc 6x55ml",en:desserts,d,en:4-ultra-processed-food-and-drink-products,96,0.09,15,11,2.6,21,328
Magnum Glace Bâtonnet Amande 8x100ml,en:desserts,d,en:4-ultra-processed-food-and-drink-products,87,0.1,15,9.4,3.5,21,249
La vanille de Madagascar - Pure Sélection,en:desserts,d,en:3-processed-foods,78,0.12,11,7.2,4.5,19,193
"Gratins de pomme de terre, patate douce et épinard",en:frozen-foods,unknown,en:3-processed-foods,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mochis Glacés,en:desserts,d,en:4-ultra-processed-food-and-drink-products,N/A,0.1,6.7,4.2,2.4,28,217
Colin d'alaska Panées,en:seafood,b,en:4-ultra-processed-food-and-drink-products,-1,1.2,7.7,0.7,11,1,178
FRITES préfites - surgelées 600 g,en:chips-and-fries,a,en:4-ultra-processed-food-and-drink-products,101,0.02,4,1.24,2,0.4,154
noix de pécan,en:plant-based-foods-and-beverages,c,en:1-unprocessed-or-minimally-processed-foods,19,0,72,6.2,9.2,4,721
Les P'tits curieux barres cookies chocolat,en:snacks,d,en:4-ultra-processed-food-and-drink-products,61,0.29,22,7.8,6.1,22,481
Thé vert glacé,fr:the-vert-glace,not-applicable,en:4-ultra-processed-food-and-drink-products,109,0.03,0,0,0,2.2,10
Cadbury Freddo,en:snacks,unknown,en:3-processed-foods,19,2,5,4,0,95,N/A
Schogetten originals: Praliné Noisettes,en:snacks,e,en:4-ultra-processed-food-and-drink-products,19,0.25,30,14,7.4,55,530
Nesquick recharge,en:cocoa-and-its-products,b,en:4-ultra-processed-food-and-drink-products,19,0.41,3.6,1.6,5.1,75.1,386
Chocolat Noir Corsé,en:snacks,d,en:4-ultra-processed-food-and-drink-products,34,0.02,37.4,22.4,8.4,34.6,555
NESTLE DESSERT Corsé 3 x 200g,en:snacks,d,en:4-ultra-processed-food-and-drink-products,43,0.02,37,22.2,8.2,35.3,553
NESTLE DESSERT Chocolat Noir Absolu,en:snacks,d,en:4-ultra-processed-food-and-drink-products,33,0.01,44.7,26.8,9,26.5,592
NESTLE DESSERT Noir Absolu 3x170g,en:snacks,d,en:4-ultra-processed-food-and-drink-products,33,0.01,44.7,26.8,9,26.5,592
Chocolat au lait,en:snacks,e,unknown,19,0.29,30,19,5.4,55,521
Chocolate Pearls,en:snacks,e,en:4-ultra-processed-food-and-drink-products,N/A,0.25,40.7,24.3,5,29.9,575
FAVOURITES - Pralinés Mix,en:snacks,e,en:4-ultra-processed-food-and-drink-products,N/A,0.37,32,17,5.2,55,544
Chocolat blanc,en:snacks,e,en:4-ultra-processed-food-and-drink-products,25,0.15,32.4,20.5,7.3,43.4,535
Blanc dessert,en:snacks,e,en:4-ultra-processed-food-and-drink-products,20,0.26,34.7,21,6.9,54.7,564
N/A,en:snacks,unknown,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Peanut Company,en:snacks,e,en:4-ultra-processed-food-and-drink-products,42,0.1,26,11,9.5,54,504
Chocolat fourré au Kirsch,en:snacks,e,en:4-ultra-processed-food-and-drink-products,N/A,0.18,24,14,7,60,582
Cote d'or noir truffé,en:snacks,e,en:4-ultra-processed-food-and-drink-products,22,0.1,40.5,23,4.8,44,585
Anchois,en:seafood,d,en:3-processed-foods,63,1.5,36,7.5,15,0,388
Rillettes de maquereau,en:seafood,d,en:4-ultra-processed-food-and-drink-products,10,1.2,18,7.4,13.7,1.4,226
Toastimer maquereau,en:seafood,c,en:3-processed-foods,37,1,19,3.9,12,0,247
Acras de morue avec ingrédients bio,en:seafood,a,en:4-ultra-processed-food-and-drink-products,32,0.77,9.6,1.7,13,2.3,193
Salmon enlatado al natural,en:seafood,a,unknown,36,0.21,9.5,1.6,19,0,160
Foie de morue,en:seafood,d,unknown,9,0.95,37,5.1,7,0.5,376
Petits Coraya format gourmand,en:seafood,b,unknown,14,1.4,4.4,0.3,8.4,2.7,111
Sardines (a L'huile Et Tabasco),en:seafood,c,unknown,15,1.4583333333333,10.714285714286,1.7857142857143,19.047619047619,0,178.57142857143
Sardine à l’huile végétale,en:seafood,unknown,en:3-processed-foods,15,N/A,N/A,N/A,N/A,N/A,N/A
Sandwich thon olives noires,en:sandwiches,b,unknown,45,1.4,12.3,1.5,10.4,1.4,244
Thon entier albacore,fr:thons-albacore-au-naturel,b,en:3-processed-foods,23,1.2,1.6,0.4,25,0,N/A
Filets de harengs fumés doux marinés à l'huile et aux aromates,en:seafood,d,en:3-processed-foods,62,3.6,14.2,3.5,15.6,0.3,194
